Age,Gender,MaritalStatus,IncomeLevel,InteractionDate,InteractionType,ResolutionStatus,LastLoginDate,LoginFrequency,ServiceUsage,AmountSpent,ProductCategory,MonthYear,ChurnStatus,IncomeLevelClass
62.0,M,Single,Low,2022-03-31,Inquiry,Resolved,2023-10-21,34.0,Mobile App,416.5,Electronics,2022-03,0.0,1
65.0,M,Married,Low,2022-03-17,Inquiry,Resolved,2023-12-05,5.0,Website,54.96,Clothing,2022-08,1.0,1
18.0,M,Single,Low,2022-08-24,Inquiry,Resolved,2023-11-15,3.0,Website,197.5,Electronics,2022-07,0.0,1
21.0,M,Widowed,Low,2022-11-18,Inquiry,Resolved,2023-08-25,2.0,Website,101.31,Furniture,2022-01,0.0,1
21.0,M,Divorced,Medium,2022-07-03,Inquiry,Unresolved,2023-10-27,41.0,Website,397.37,Clothing,2022-07,0.0,2
57.0,F,Divorced,Medium,2022-05-05,Feedback,Resolved,2023-09-17,2.0,Website,285.21,Electronics,2022-01,0.0,2
27.0,F,Married,High,2022-04-29,Inquiry,Unresolved,2023-01-07,32.0,Mobile App,311.34,Electronics,2022-09,0.0,3
37.0,M,Single,Low,2022-09-13,Feedback,Unresolved,2023-04-22,17.0,Online Banking,199.73,Groceries,2022-11,1.0,1
39.0,M,Divorced,High,2022-08-15,Inquiry,Resolved,2023-06-27,24.0,Website,241.06,Books,2022-10,0.0,3
68.0,M,Married,High,2022-10-28,Feedback,Resolved,2023-01-13,29.0,Online Banking,51.07,Clothing,2022-08,1.0,3
54.0,M,Divorced,Medium,2022-01-26,Feedback,Unresolved,2023-01-22,30.0,Online Banking,419.95,Furniture,2022-09,0.0,2
41.0,F,Married,Low,2022-11-29,Feedback,Resolved,2023-12-31,43.0,Website,287.72,Groceries,2022-07,0.0,1
24.0,F,Divorced,Low,2022-01-12,Inquiry,Unresolved,2023-07-05,10.0,Mobile App,299.86,Groceries,2022-03,0.0,1
42.0,M,Widowed,Medium,2022-07-27,Complaint,Resolved,2023-01-10,26.0,Online Banking,403.32,Furniture,2022-02,0.0,2
42.0,M,Divorced,Medium,2022-07-25,Complaint,Unresolved,2023-06-15,44.0,Online Banking,125.64,Electronics,2022-07,0.0,2
30.0,F,Single,Medium,2022-07-29,Feedback,Resolved,2023-03-15,41.0,Online Banking,123.59,Groceries,2022-12,1.0,2
19.0,M,Married,Low,2022-10-18,Feedback,Unresolved,2023-09-03,8.0,Online Banking,241.45,Electronics,2022-12,0.0,1
56.0,F,Married,High,2022-02-04,Complaint,Unresolved,2023-11-24,37.0,Website,44.22,Clothing,2022-12,1.0,3
57.0,F,Divorced,High,2022-06-30,Inquiry,Resolved,2023-03-08,39.0,Online Banking,382.39,Furniture,2022-05,0.0,3
41.0,M,Single,Low,2022-09-08,Inquiry,Resolved,2023-08-15,16.0,Website,475.69,Groceries,2022-02,0.0,1
64.0,M,Divorced,High,2022-05-11,Inquiry,Unresolved,2023-06-16,18.0,Website,178.91,Furniture,2022-08,0.0,3
42.0,F,Divorced,Low,2022-05-06,Inquiry,Resolved,2023-05-06,42.0,Mobile App,373.51,Groceries,2022-12,0.0,1
35.0,F,Divorced,Low,2022-11-08,Inquiry,Unresolved,2023-07-07,19.0,Mobile App,155.76,Electronics,2022-10,0.0,1
55.0,M,Widowed,Medium,2022-11-28,Complaint,Unresolved,2023-10-04,12.0,Mobile App,308.8,Electronics,2022-07,0.0,2
43.0,F,Married,Low,2022-04-18,Complaint,Unresolved,2023-02-15,27.0,Mobile App,219.98,Furniture,2022-08,0.0,1
31.0,M,Single,Medium,2022-07-19,Feedback,Resolved,2023-09-29,45.0,Mobile App,218.98,Electronics,2022-12,1.0,2
26.0,M,Widowed,Medium,2022-01-07,Inquiry,Resolved,2023-10-01,22.0,Mobile App,69.86,Groceries,2022-05,0.0,2
27.0,F,Widowed,High,2022-08-06,Inquiry,Resolved,2023-10-26,42.0,Online Banking,365.57,Books,2022-08,0.0,3
38.0,F,Divorced,Medium,2022-03-18,Complaint,Unresolved,2023-09-02,34.0,Website,448.86,Clothing,2022-10,0.0,2
69.0,M,Divorced,High,2022-02-23,Complaint,Resolved,2023-07-12,38.0,Website,41.7,Furniture,2022-08,0.0,3
34.0,M,Divorced,Low,2022-11-02,Complaint,Resolved,2023-08-17,23.0,Online Banking,104.0,Furniture,2022-07,0.0,1
69.0,F,Married,High,2022-12-06,Feedback,Resolved,2023-01-06,48.0,Mobile App,204.16,Electronics,2022-10,0.0,3
23.0,M,Divorced,High,2022-12-12,Complaint,Resolved,2023-05-19,24.0,Mobile App,86.73,Books,2022-10,1.0,3
33.0,M,Widowed,High,2022-06-13,Feedback,Unresolved,2023-04-03,44.0,Online Banking,263.24,Books,2022-10,0.0,3
65.0,M,Married,Low,2022-04-14,Complaint,Unresolved,2023-05-23,19.0,Mobile App,483.91,Clothing,2022-11,0.0,1
18.0,F,Widowed,Low,2022-12-01,Inquiry,Unresolved,2023-02-11,6.0,Online Banking,240.92,Books,2022-07,0.0,1
36.0,F,Married,Medium,2022-09-13,Inquiry,Resolved,2023-08-28,3.0,Online Banking,346.24,Clothing,2022-06,0.0,2
53.0,F,Married,Low,2022-04-14,Feedback,Unresolved,2023-11-27,47.0,Online Banking,253.68,Furniture,2022-07,0.0,1
42.0,M,Married,Medium,2022-04-04,Complaint,Resolved,2023-01-20,26.0,Online Banking,161.56,Electronics,2022-09,0.0,2
67.0,F,Widowed,Low,2022-10-16,Complaint,Unresolved,2023-10-14,20.0,Website,297.33,Furniture,2022-03,0.0,1
69.0,F,Married,High,2022-06-18,Inquiry,Resolved,2023-07-04,38.0,Mobile App,96.67,Electronics,2022-06,1.0,3
47.0,M,Widowed,Medium,2022-05-09,Complaint,Resolved,2023-07-17,10.0,Mobile App,472.21,Clothing,2022-06,0.0,2
37.0,M,Single,Low,2022-05-30,Feedback,Resolved,2023-05-25,25.0,Mobile App,44.26,Groceries,2022-01,0.0,1
37.0,F,Widowed,Low,2022-07-02,Feedback,Resolved,2023-11-13,35.0,Mobile App,378.14,Groceries,2022-10,0.0,1
32.0,F,Widowed,Low,2022-05-19,Feedback,Unresolved,2023-09-02,49.0,Online Banking,325.96,Clothing,2022-05,0.0,1
57.0,F,Married,High,2022-07-07,Complaint,Unresolved,2023-07-31,24.0,Online Banking,5.86,Furniture,2022-09,1.0,3
50.0,F,Married,Medium,2022-10-28,Feedback,Resolved,2023-04-19,21.0,Website,35.29,Clothing,2022-10,0.0,2
19.0,M,Divorced,Medium,2022-03-20,Complaint,Resolved,2023-06-12,34.0,Website,303.4,Groceries,2022-08,0.0,2
27.0,F,Single,Medium,2022-03-25,Inquiry,Resolved,2023-02-19,18.0,Online Banking,223.85,Furniture,2022-09,0.0,2
